จังหวัด,เขต,ชุดที่,บัตรดี,บัตรเสีย,บัตรที่ไม่เลือก,หมายเลข,ชื่อสกุล,พรรค,คะแนน,match_method,match_score
นครศรีธรรมราช,2,5,,,,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,36,number,100
นครศรีธรรมราช,2,5,,,,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,84,number,100
นครศรีธรรมราช,2,5,,,,4,นายเจริญ ชินวงศ์,กล้าธรรม,290,number,100
นครศรีธรรมราช,2,5,,,,5,นายจรยุทธ มาศบำรุง,ประชาชน,290,number,100
นครศรีธรรมราช,2,5,,,,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,8,number,100
นครศรีธรรมราช,2,5,,,,7,นายปัญโน หวานนุรักษ์,พลวัต,8,number,100
นครศรีธรรมราช,2,5,,,,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,7,number,100
นครศรีธรรมราช,2,5,,,,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,3,number,100
นครศรีธรรมราช,2,5,,,,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,1,number,100
นครศรีธรรมราช,2,5,,,,11,,,,none,0
นครศรีธรรมราช,2,1,,,,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,139,number,100
นครศรีธรรมราช,2,1,,,,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,84,number,100
นครศรีธรรมราช,2,1,,,,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,84,number,100
นครศรีธรรมราช,2,1,,,,4,นายเจริญ ชินวงศ์,กล้าธรรม,61,number,100
นครศรีธรรมราช,2,1,,,,5,นายจรยุทธ มาศบำรุง,ประชาชน,308,number,100
นครศรีธรรมราช,2,1,,,,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,13,number,100
นครศรีธรรมราช,2,1,,,,7,นายปัญโน หวานนุรักษ์,พลวัต,1,number,100
นครศรีธรรมราช,2,1,,,,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,5,number,100
นครศรีธรรมราช,2,1,,,,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,4,number,100
นครศรีธรรมราช,2,1,,,,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,2,number,100
นครศรีธรรมราช,2,1,,,,11,,,659,none,0
นครศรีธรรมราช,2,1,,,,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,18,number,100
นครศรีธรรมราช,2,1,,,,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,36,number,100
นครศรีธรรมราช,2,1,,,,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,105,number,100
นครศรีธรรมราช,2,1,,,,4,นายเจริญ ชินวงศ์,กล้าธรรม,62,number,100
นครศรีธรรมราช,2,1,,,,5,นายจรยุทธ มาศบำรุง,ประชาชน,289,number,100
นครศรีธรรมราช,2,1,,,,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,17,number,100
นครศรีธรรมราช,2,1,,,,7,นายปัญโน หวานนุรักษ์,พลวัต,6,number,100
นครศรีธรรมราช,2,1,,,,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,6,number,100
นครศรีธรรมราช,2,1,,,,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,3,number,100
นครศรีธรรมราช,2,1,,,,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,0,number,100
นครศรีธรรมราช,2,1,,,,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,96,number,100
นครศรีธรรมราช,2,1,,,,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,51,number,100
นครศรีธรรมราช,2,1,,,,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,191,number,100
นครศรีธรรมราช,2,1,,,,4,นายเจริญ ชินวงศ์,กล้าธรรม,57,number,100
นครศรีธรรมราช,2,1,,,,5,นายจรยุทธ มาศบำรุง,ประชาชน,322,number,100
นครศรีธรรมราช,2,1,,,,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,15,number,100
นครศรีธรรมราช,2,1,,,,7,นายปัญโน หวานนุรักษ์,พลวัต,7,number,100
นครศรีธรรมราช,2,1,,,,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,3,number,100
นครศรีธรรมราช,2,1,,,,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,5,number,100
นครศรีธรรมราช,2,1,,,,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,9,number,100
นครศรีธรรมราช,2,1,,,,11,รวมคะแนนทั้งสิ้น 657 ( ตกวัยต้องเติมจัด ),,,none,0
