จังหวัด,เขต,ชุดที่,บัตรดี,บัตรเสีย,บัตรที่ไม่เลือก,หมายเลข,ชื่อสกุล,พรรค,คะแนน
นครศรีธรรมราช,2,5,633,16,81,7,นายปัญโน หวานนุรักษ์,พลวัต,8
นครศรีธรรมราช,2,5,633,16,81,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,7
นครศรีธรรมราช,2,5,633,16,81,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,3
นครศรีธรรมราช,2,5,633,16,81,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,1
นครศรีธรรมราช,2,7,651,7,72,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,127
นครศรีธรรมราช,2,7,651,7,72,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,46
นครศรีธรรมราช,2,7,651,7,72,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,84
นครศรีธรรมราช,2,7,651,7,72,4,นายเจริญ ชินวงศ์,กล้าธรรม,61
นครศรีธรรมราช,2,7,651,7,72,5,นายจรยุทธ มาศบำรุง,ประชาชน,308
นครศรีธรรมราช,2,7,651,7,72,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,13
นครศรีธรรมราช,2,7,651,7,72,7,นายปัญโน หวานนุรักษ์,พลวัต,1
นครศรีธรรมราช,2,7,651,7,72,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,5
นครศรีธรรมราช,2,7,651,7,72,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,4
นครศรีธรรมราช,2,7,651,7,72,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,2
นครศรีธรรมราช,2,,642,14,74,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,118
นครศรีธรรมราช,2,,642,14,74,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,36
นครศรีธรรมราช,2,,642,14,74,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,105
นครศรีธรรมราช,2,,642,14,74,4,นายเจริญ ชินวงศ์,กล้าธรรม,62
นครศรีธรรมราช,2,,642,14,74,5,นายจรยุทธ มาศบำรุง,ประชาชน,289
นครศรีธรรมราช,2,,642,14,74,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,17
นครศรีธรรมราช,2,,642,14,74,7,นายปัญโน หวานนุรักษ์,พลวัต,6
นครศรีธรรมราช,2,,642,14,74,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,6
นครศรีธรรมราช,2,,642,14,74,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,3
นครศรีธรรมราช,2,,642,14,74,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,0
นครศรีธรรมราช,2,,657,19,54,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,96
นครศรีธรรมราช,2,,657,19,54,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,51
นครศรีธรรมราช,2,,657,19,54,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,101
นครศรีธรรมราช,2,,657,19,54,4,นายเจริญ ชินวงศ์,กล้าธรรม,57
นครศรีธรรมราช,2,,657,19,54,5,นายจรยุทธ มาศบำรุง,ประชาชน,322
นครศรีธรรมราช,2,,657,19,54,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,15
นครศรีธรรมราช,2,,657,19,54,7,นายปัญโน หวานนุรักษ์,พลวัต,7
นครศรีธรรมราช,2,,657,19,54,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,3
นครศรีธรรมราช,2,,657,19,54,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,5
นครศรีธรรมราช,2,,657,19,54,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,0
